LACODE,HI,MDI
E06000001,7022,10395.96552
E06000002,5213.511628,9189.569767
E06000003,7330.545455,12470.97727
E06000004,9390.45,15477.15833
E06000005,9844.061538,14055.93846
E06000006,6271.734177,10692.78481
E06000007,12947.23622,18533.7874
E06000008,5735.604396,9192.494505
E06000009,2203.978723,5885.340426
E06000010,7082.662651,7693.698795
E06000011,21238.9,20628.62857
E06000012,11574.40566,12239.72642
E06000013,13641.35644,15797.34653
E06000014,20129.10833,23593.475
E06000015,10546.70861,14529.17881
E06000016,9536.65625,10098.51563
E06000017,28420.47826,26156.86957
E06000018,6399.527473,8024.010989
E06000019,20459.67241,16395.14655
E06000020,10663.73148,14165.61111
E06000021,5216.962264,9350.433962
E06000022,23775.28696,23317.5913
E06000023,12598.46768,13542.15209
E06000024,19743.42222,20995.15556
E06000025,25712.15758,23301.5697
E06000026,8819.770186,13140.78261
E06000027,10065.16854,11887.65169
E06000030,16275.60606,18573.38636
E06000031,11008.95536,12215.73214
E06000032,12959.5124,12621.24793
E06000033,16048.38318,16471.80374
E06000034,19506.89796,15783.94898
E06000035,15382.03067,14440.95092
E06000036,26036.46667,24498.42667
E06000037,26712.97938,24962.27835
E06000038,16252.90722,16551.39175
E06000039,14034.85,13063.625
E06000040,27086.29213,26475.89888
E06000041,30748.31313,29227.08081
E06000042,18245.73026,18513.56579
E06000043,15503.17576,16575.8
E06000044,13289.584,12280.656
E06000045,9677.641892,11886.25676
E06000046,15053.83146,13356.40449
E06000047,7811.061728,12317.79938
E06000049,18486.81197,21700.17094
E06000050,15158.61792,18877.27358
E06000051,20708.96891,17785.15026
E06000052,15308.17791,13324.58896
E06000053,32816,22165
E06000054,23217.24561,21461.61053
E06000055,17509.97087,17450.07767
E06000056,24866.16561,23200.59873
E06000057,14232.47716,16157.84264
E06000058,17036.5794,18284.04721
E06000059,20549.68037,19776.0411
E07000004,25630.1913,24008.86957
E07000005,30319.50877,27875.38596
E07000006,28919.025,25094.8
E07000007,27812.17757,24505.42991
E07000008,20636.73913,19797.17391
E07000009,27101.48,23106.1
E07000010,9437.945455,11877.09091
E07000011,23850.02857,22492.01905
E07000012,28519.92708,26193.92708
E07000026,14400.08333,15163.96667
E07000027,3922.265306,11460.4898
E07000028,12139.83824,15225.94118
E07000029,7691.918367,12980.81633
E07000030,23338.97222,18237.33333
E07000031,22647.67797,22326.9661
E07000032,14703.32051,18042.58974
E07000033,8177.666667,12545.39583
E07000034,6507.73913,13778.55072
E07000035,23383.25581,23092.81395
E07000036,16303.61644,18127.0137
E07000037,15889.16949,19897.76271
E07000038,14670.39683,18963.98413
E07000039,18472.24138,20782.06897
E07000040,24169.96296,22003.18519
E07000041,17140.31081,19288.87838
E07000042,25417.90698,17468.39535
E07000043,14597.82759,15572.06897
E07000044,23692.26531,20973.12245
E07000045,19991.86905,19367.70238
E07000046,14794.91892,12907.83784
E07000047,18503.67742,16630.3871
E07000061,15715.09836,15040.67213
E07000062,8943.301887,8860.924528
E07000063,21188.19355,19504.85484
E07000064,17302.06897,16276.7931
E07000065,26761.70526,22421.65263
E07000066,17414.40909,15487.92727
E07000067,21076.47126,20081.91954
E07000068,27483.95652,24755.08696
E07000069,20245.17544,18865.10526
E07000070,25992.70093,23008.51402
E07000071,17573.52381,18653.81905
E07000072,25400.80769,20239.65385
E07000073,12973.66667,14011.61111
E07000074,23238.125,20575.65
E07000075,27317.92453,24637.73585
E07000076,8410.426966,10884.35955
E07000077,30059.71739,25428.08696
E07000078,18519.08,21866.52
E07000079,26467.43137,23618.17647
E07000080,21382.9,16772.94
E07000081,11770.73077,16389.48718
E07000082,23530.3913,24046.53623
E07000083,23488.02,22984.2
E07000084,22540.88073,22468.92661
E07000085,25983.40278,24518.25
E07000086,25327.71429,24970.12987
E07000087,26122.17808,25983.09589
E07000088,15389.88679,16463.07547
E07000089,31094.80702,29401.73684
E07000090,15682,16190.89744
E07000091,24072.80702,21970.07018
E07000092,17925.48276,19886.77586
E07000093,24902.1831,23348.6338
E07000094,27401.72857,25221.61429
E07000095,24915.91071,17751.98214
E07000096,24850.74468,22246.24468
E07000098,24015.37097,21120.74194
E07000099,24677.87805,23234.09756
E07000102,27419.28302,25161.66038
E07000103,21138.43396,19584.33962
E07000105,21964.20513,17247.78205
E07000106,17876.96667,18476.92222
E07000107,19374.87931,17163.32759
E07000108,16720.73134,14972.29851
E07000109,18451.5625,16007.375
E07000110,22578.51579,19503.71579
E07000111,27659.64865,22377.7973
E07000112,14570.58209,13539.08955
E07000113,13413.75294,12859.97647
E07000114,12017.15476,11175.21429
E07000115,24985.83333,22026.44444
E07000116,26312.02941,23489.73529
E07000117,4978,8735.833333
E07000118,14241.87879,19538.83333
E07000119,13275.39216,19611.01961
E07000120,5018.865385,9739.057692
E07000121,10151.78652,14832.86517
E07000122,8609.298246,11109.2807
E07000123,7932.732558,11962.40698
E07000124,22098.125,24478.225
E07000125,11290.48837,13356.97674
E07000126,14859.28571,20209.35714
E07000127,16179.67123,18716.65753
E07000128,10710.26087,16527.14493
E07000129,22621.11667,23774.65
E07000130,21654.83838,22146.30303
E07000131,28215.89362,26858.68085
E07000132,21680.31818,21580.59091
E07000133,23429.9,22382.3
E07000134,18309.46552,20548.25862
E07000135,18401.55556,22231.91667
E07000136,14803.27778,13713.13889
E07000137,9350.888889,10879.90123
E07000138,8561.666667,12675.19298
E07000139,23673,23256.92188
E07000140,18736.40816,16790.73469
E07000141,22654.11111,21981.62963
E07000142,16462.03846,16899.67308
E07000143,16458.24359,15965.87179
E07000144,23245.88095,22861.28571
E07000145,9445.672131,10160.37705
E07000146,10470.31461,13390.05618
E07000147,15913.32258,14165.03226
E07000148,8356.46988,12152.46988
E07000149,23953.50617,20911.97531
E07000150,8487.512195,12284.14634
E07000151,23100.20455,21956.90909
E07000152,21907.20408,21069.71429
E07000153,16176.50877,18504.50877
E07000154,12114.52632,14906.15789
E07000155,28103.58824,27280.37255
E07000156,14141.08511,15679.23404
E07000163,22738.28125,21711.6875
E07000164,25222.26923,22844.65385
E07000165,23823.00962,24081.85577
E07000166,25013.35294,22248.47059
E07000167,23495.2,18839.43333
E07000168,10184.1831,13137.29577
E07000169,22437.68,22550.28
E07000170,9554.22973,12486.36486
E07000171,10898.38571,14626.97143
E07000172,19736.67606,20958.25352
E07000173,19561.68831,20429.42857
E07000174,7549.940299,12053.53731
E07000175,16877.87143,17376.57143
E07000176,27870.32353,27645
E07000177,21204.89247,20883.31183
E07000178,18993.95181,18989.87952
E07000179,29296.58427,26566.40449
E07000180,28503.52632,26577.53947
E07000181,27276.10606,26272.18182
E07000187,18950.09091,18237.34848
E07000188,17002.58571,15622.97143
E07000189,19129.72816,17802.45631
E07000192,14202.98333,15654.55
E07000193,16109.05556,17986.70833
E07000194,21508.10345,22330.01724
E07000195,11967.4625,17065.6625
E07000196,22207.76471,21663.85294
E07000197,19241.875,21757.2125
E07000198,19396.55932,20127.05085
E07000199,12961.68627,16091.07843
E07000200,24324.68519,20405.22222
E07000202,11266.12941,13231.63529
E07000203,26602.83929,21330.91071
E07000207,29808.35802,27159.11111
E07000208,28529.29545,26723.63636
E07000209,26434.5,25310.41667
E07000210,26500.44444,25788.85185
E07000211,24121.80233,23706.95349
E07000212,24996.23077,22526.5
E07000213,23522.45,20010.08333
E07000214,26807.21818,27092.29091
E07000215,24039.4,22664.54
E07000216,26537.21951,27374.76829
E07000217,24172.57377,24528.85246
E07000218,17631.84211,17442.84211
E07000219,12819.64198,14828.88889
E07000220,21075.32787,21276.08197
E07000221,23743.75342,22825
E07000222,20172.39535,22966.83721
E07000223,16682.78571,17774.97619
E07000224,14559.07447,17267.01064
E07000225,21867.91549,20451.56338
E07000226,16798.5303,16269.31818
E07000227,26675.91358,25199.1358
E07000228,29182.5,27282.32558
E07000229,17526.69231,18834.66154
E07000234,22295.56897,23499.39655
E07000235,23493.97778,19185.13333
E07000236,11787.30909,15635.4
E07000237,15725.11111,17165.25397
E07000238,23224.29487,19422.64103
E07000239,17634.41538,16033.63077
E07000240,29242.08046,26593.17241
E07000241,21649.1194,20902.47761
E07000242,29786.39286,26583.47619
E07000243,17353,15500.13462
E07000244,17685.41096,17196.89041
E07000245,20182.47,18841.13
E07000246,16838.69318,16555.72727
E08000001,9583.887006,12005.48023
E08000002,12891.64167,15383.25833
E08000003,4165.134752,6598.62766
E08000004,8879.475177,10891.11348
E08000005,6982.059701,9892.11194
E08000006,6002.186667,9775.513333
E08000007,12847.61053,17735.84737
E08000008,6767.134752,10280.7305
E08000009,17411.34058,20576.38406
E08000010,9339.415,14322.76
E08000011,3266.346939,6473.612245
E08000012,3930.372483,7023.402685
E08000013,5366.294118,11295.62185
E08000014,8345.994709,13850.7037
E08000015,7140.796117,13399.94175
E08000016,6807.863946,10996.14286
E08000017,8327.195876,11275.14948
E08000018,6994.269461,11857.90419
E08000019,11090.85507,14221.73333
E08000021,8011.828571,13043.36571
E08000022,11367.67939,16157.84733
E08000023,6574.196078,10343.81373
E08000024,6948.064865,10915.98378
E08000025,8330.292645,7752.449139
E08000026,12325.92308,13739.50256
E08000027,12966.41294,15148.85075
E08000028,7628.758065,7633.360215
E08000029,19253.03731,20075.83582
E08000030,9793.02994,11090.35928
E08000031,8797.886076,9920.006329
E08000032,9100.716129,10199.25806
E08000033,12936.58594,12981.39063
E08000034,14383.03475,13913.98842
E08000035,11787.42739,14058.0249
E08000036,9765.229665,12568.34928
E08000037,7189.97619,12238.16667
E09000001,24083.16667,20275.16667
E09000002,13069.81818,7244.5
E09000003,27860.38863,19287.45024
E09000004,23555.11644,19696.10959
E09000005,22274.61272,12034.7052
E09000006,26391.86802,21707.98477
E09000007,22073.94737,16247.74436
E09000008,18702.96818,14926.63636
E09000009,20518.05102,14031.19898
E09000010,23021.70492,12698.51913
E09000011,16539.33113,12654.51656
E09000012,10927.86111,7420.611111
E09000013,16715.0354,14202.60177
E09000014,17913.35172,11291.91724
E09000015,28098.10949,19977
E09000016,23207.98667,19197.02
E09000017,21293.49689,17705.38509
E09000018,19902.14789,14338.80282
E09000019,12406.58537,10296.5122
E09000020,25599.06796,15419.33981
E09000021,27344.2449,23519.42857
E09000022,13974.58989,11294.58989
E09000023,15042.4497,10781.3787
E09000024,23786.92742,20967.60484
E09000025,16342.44512,8650.018293
E09000026,25466.02484,18068.70186
E09000027,29554.5913,25694.46087
E09000028,14437.30723,11546.48193
E09000029,23357.28099,21630.71901
E09000030,13331.25,10369.3125
E09000031,18426.80556,11735.375
E09000032,21272.51397,18713.15642
E09000033,23642.35938,16194.96875
