GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E05000001,Aldersgate,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,8.64,8.64,0,8.64
E05000002,Aldgate,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,11.23,11.23,0,11.23
E05000003,Bassishaw,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,10.03,10.03,0,10.03
E05000004,Billingsgate,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,12.16,8.19,0,8.19
E05000005,Bishopsgate,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,25.27,25.27,0,25.27
E05000006,Bread Street,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,9.71,9.71,0,9.71
E05000007,Bridge,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,9.42,7.01,0,7.01
E05000008,Broad Street,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,8.19,8.19,0,8.19
E05000009,Candlewick,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,4.34,4.34,0,4.34
E05000010,Castle Baynard,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,36.07,29.37,0,29.37
E05000011,Cheap,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,8.91,8.91,0,8.91
E05000012,Coleman Street,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,15.4,15.4,0,15.4
E05000013,Cordwainer,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,6.07,6.07,0,6.07
E05000014,Cornhill,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,6.48,6.48,0,6.48
E05000015,Cripplegate,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,14.54,14.54,0,14.54
E05000016,Dowgate,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,9.57,7.03,0,7.03
E05000017,Farringdon Within,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,23.15,23.15,0,23.15
E05000018,Farringdon Without,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,34.35,32.07,0,32.07
E05000019,Langbourn,,1111/1001,GSS re-coding strategy,01/01/2009,01/05/2013,E09000001,E05,MHCLG,terminated,5.63,5.63,0,5.63
