GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E10000001,Bedfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000006,E10,MHCLG,terminated,,,,
E10000002,Buckinghamshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,MHCLG,live,156494.91,156494.91,0,156494.91
E10000003,Cambridgeshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,MHCLG,live,305400.72,305251.35,627.95,304623.4
E10000004,Cheshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000002,E10,MHCLG,terminated,,,,
E10000005,Cornwall and Isles of Scilly,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000009,E10,MHCLG,terminated,,,,
E10000006,Cumbria,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E10,MHCLG,live,718247.22,682219.53,5559.58,676659.95
E10000007,Derbyshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,MHCLG,live,255076.21,255076.21,400.45,254675.76
E10000008,Devon,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E10,MHCLG,live,663610.33,656716.27,289.82,656426.45
E10000009,Dorset,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2019,E12000009,E10,MHCLG,terminated,257297.32,254173.03,0,254173.03
E10000010,Durham,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000001,E10,MHCLG,terminated,,,,
E10000011,East Sussex,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,MHCLG,live,172516.86,171269.14,413.52,170855.62
E10000012,Essex,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,MHCLG,live,369530.95,347198.1,757.07,346441.03
E10000013,Gloucestershire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E10,MHCLG,live,270452.83,265303.11,0,265303.11
E10000014,Hampshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,MHCLG,live,373790.68,367889.94,0,367889.94
E10000015,Hertfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,MHCLG,live,164306.5,164306.5,0,164306.5
E10000016,Kent,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,MHCLG,live,363955.27,354605.56,111.62,354493.94
E10000017,Lancashire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E10,MHCLG,live,308300.81,290454,128.58,290325.42
E10000018,Leicestershire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,MHCLG,live,208378.75,208378.75,89.55,208289.2
E10000019,Lincolnshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,MHCLG,live,610276.9,593728.59,0,593728.59
E10000020,Norfolk,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,MHCLG,live,550835.03,538160.56,158.64,538001.92
E10000021,Northamptonshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,MHCLG,live,236698.99,236698.99,298.48,236400.51
E10000022,Northumberland,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000001,E10,MHCLG,terminated,,,,
E10000023,North Yorkshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E10,MHCLG,live,805294.03,804026.14,259.97,803766.17
E10000024,Nottinghamshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,MHCLG,live,208689.54,208471.13,0,208471.13
E10000025,Oxfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,MHCLG,live,260594.77,260594.77,101.58,260493.19
E10000026,Shropshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000005,E10,MHCLG,terminated,,,,
E10000027,Somerset,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E10,MHCLG,live,351385.43,345209.91,148.97,345060.94
E10000028,Staffordshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E10,MHCLG,live,262331.43,262331.43,302.78,262028.65
E10000029,Suffolk,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,MHCLG,live,385357.46,380234.46,139.25,380095.21
E10000030,Surrey,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,MHCLG,live,167007.33,167007.33,755.54,166251.79
E10000031,Warwickshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E10,MHCLG,live,197752.27,197752.27,244.4,197507.87
E10000032,West Sussex,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,MHCLG,live,202346.34,199087.18,0,199087.18
E10000033,Wiltshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000009,E10,MHCLG,terminated,,,,
E10000034,Worcestershire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E10,MHCLG,live,174051.41,174051.41,0,174051.41
