GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E39000001,"Cheshire, Warrington and Wirral",,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,254494.87,242073.53,0,242073.53
E39000002,"Durham, Darlington and Tees",,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,304684.13,302561.95,557.7,302004.25
E39000003,Greater Manchester,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,140205.75,140205.75,0,140205.75
E39000004,Lancashire,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,326364.42,307640.35,128.58,307511.76
E39000005,Merseyside,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,65150.03,56692.6,0,56692.6
E39000006,"Cumbria, Northumberland, Tyne and Wear",,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,1294722.57,1252682.1,6800.5,1245881.6
E39000007,North Yorkshire and Humber,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,1080401.03,1065180.74,235.01,1064945.72
E39000008,South Yorkshire and Bassetlaw,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,219161.65,218940.16,0,218940.16
E39000009,West Yorkshire,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000001,E39,ODS,terminated,306954.98,306954.98,141.92,306813.06
E39000010,"Arden, Herefordshire and Worcestershire",,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,599642.62,599642.62,244.4,599398.21
E39000011,Birmingham and the Black Country,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,80299.39,80299.39,0,80299.39
E39000012,Derbyshire and Nottinghamshire,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,402471.94,402422.45,400.45,402022
E39000013,East Anglia,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,1310782.72,1292764.68,925.84,1291838.84
E39000014,Essex,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,394665.84,367709.29,757.07,366952.22
E39000015,Hertfordshire and the South Midlands,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,525602,525602,298.49,525303.51
E39000016,Leicestershire and Lincolnshire,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,865746.13,847164.6,1281.33,845883.26
E39000017,Shropshire and Staffordshire,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000002,E39,ODS,terminated,620438.32,620438.32,302.78,620135.54
E39000018,NHS England London,,,Name Amendment,01/04/2015,,E40000003,E39,ODS,live,159472.03,157353.02,136.93,157216.09
E39000018,London,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000003,E39,ODS,terminated,159472.03,157353.02,136.93,157216.09
E39000019,"Bath, Gloucestershire, Swindon and Wiltshire",,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000004,E39,ODS,terminated,657109.55,651980.38,524.48,651455.9
E39000020,"Bristol, North Somerset, Somerset and South Gloucestershire",,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000004,E39,ODS,terminated,467935.12,443327,237.72,443089.28
E39000021,"Devon, Cornwall and Isles of Scilly",,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000004,E39,ODS,terminated,1047703.18,1027592.96,640.36,1026952.6
E39000022,Kent and Medway,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000004,E39,ODS,terminated,390791.26,373669.41,111.61,373557.79
E39000023,Surrey and Sussex,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000004,E39,ODS,terminated,543646.88,538137.4,1169.06,536968.34
E39000024,Thames Valley,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000004,E39,ODS,terminated,535413.92,535413.92,294.13,535119.79
E39000025,NHS England South (Wessex),,,Name Amendment,01/04/2015,31/03/2018,E40000004,E39,ODS,terminated,701074.81,686731.94,0,686731.94
E39000025,Wessex,,2996/2012,The National Health Service Commissioning Board and Clinical Commissioning Groups (Responsibilities and Standing Rules) Regulations 2012,01/04/2013,31/03/2015,E40000004,E39,ODS,terminated,701074.81,686731.93,0,686731.93
E39000026,NHS England North (Cheshire and Merseyside),,,,01/04/2015,31/03/2019,E40000001,E39,ODS,terminated,319644.91,298766.12,0,298766.12
E39000026,NHS England North West (Cheshire and Merseyside),,,,01/04/2019,,E40000010,E39,ODS,live,,,,
E39000027,NHS England North (Cumbria and North East),,,,01/04/2015,31/03/2017,E40000001,E39,ODS,terminated,1599406.7,1555304.11,7358.2,1547945.91
E39000028,NHS England North (Lancashire and Greater Manchester),,,,01/04/2015,31/03/2016,E40000001,E39,ODS,terminated,466570.17,447845.78,128.58,447717.2
E39000029,NHS England North (Yorkshire and Humber),,,,01/04/2015,31/03/2019,E40000001,E39,ODS,terminated,1606517.68,1591075.9,376.93,1590698.97
E39000030,NHS England Midlands and East (Central Midlands),,,,01/04/2015,31/03/2019,E40000002,E39,ODS,terminated,1391348.1,1372766.58,1579.82,1371186.76
E39000031,NHS England Midlands and East (East),,,,01/04/2015,31/03/2019,E40000002,E39,ODS,terminated,1705448.56,1660473.98,1682.91,1658791.07
E39000032,NHS England Midlands and East (North Midlands),,,,01/04/2015,31/03/2019,E40000002,E39,ODS,terminated,1022910.26,1022860.76,703.23,1022157.53
E39000032,NHS England Midlands (North Midlands),,,Name Change,01/04/2019,,E40000008,E39,ODS,live,,,,
E39000033,NHS England Midlands (West Midlands),,,Name Change,01/04/2019,,E40000008,E39,ODS,live,,,,
E39000033,NHS England Midlands and East (West Midlands),,,,01/04/2015,31/03/2019,E40000002,E39,ODS,terminated,679942,679942,244.4,679697.6
E39000034,NHS England South (South Central),,,,01/04/2015,31/03/2018,E40000004,E39,ODS,terminated,1192523.47,1187375.78,818.61,1186557.17
E39000035,NHS England South (South East),,,,01/04/2015,31/03/2018,E40000004,E39,ODS,terminated,934438.17,911923.44,1280.67,910642.77
E39000036,NHS England South (South West),,,,01/04/2015,31/03/2018,E40000004,E39,ODS,terminated,1515638.11,1470921.69,878.1,1470043.59
E39000037,NHS England North West (Greater Manchester),,,Name Change,01/04/2019,,E40000010,E39,ODS,live,,,,
E39000037,NHS England North (Greater Manchester),,,,01/04/2016,31/03/2019,E40000001,E39,ODS,terminated,140205.75,140205.75,0,140205.75
E39000038,NHS England North (Lancashire),,,,01/04/2016,31/03/2017,E40000001,E39,ODS,terminated,326364.41,307640.04,128.58,307511.46
