GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
NULL,NULL,,,,,,UNKNOWN,,,,,,,
W11000030,W11000030,,,,,,WALES,,,,,,,
W11000031,W11000031,,,,,,WALES,,,,,,,
W11000023,W11000023,,,,,,WALES,,,,,,,
W11000024,W11000024,,,,,,WALES,,,,,,,
W11000025,W11000025,,,,,,WALES,,,,,,,
W11000028,W11000028,,,,,,WALES,,,,,,,
W11000029,W11000029,,,,,,WALES,,,,,,,
ZC040,ZC040,,,,,,UNKNOWN,,,,,,,
S03000003,S03000003,,,,,,SCOT,,,,,,,
S03000005,S03000005,,,,,,SCOT,,,,,,,
S03000004,S03000004,,,,,,SCOT,,,,,,,
S03000018,S03000018,,,,,,SCOT,,,,,,,
S03000029,S03000029,,,,,,SCOT,,,,,,,
S03000007,S03000007,,,,,,SCOT,,,,,,,
ZC010,ZC010,,,,,,UNKNOWN,,,,,,,
S03000039,S03000039,,,,,,SCOT,,,,,,,
ZC030,ZC030,,,,,,UNKNOWN,,,,,,,
S03000043,S03000043,,,,,,SCOT,,,,,,,
S03000042,S03000042,,,,,,SCOT,,,,,,,
