Area Code,Area Name,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020
E06000001,Hartlepool,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,6,7,11,12,12,15,17,23,23
E06000002,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,9,9,17,19,26,33,44,59,74,92,111
E06000003,Redcar and Cleveland,0,0,0,0,0,1,1,0,1,1,1,2,3,3,3,7,10,10,13,15,25,34,43,51,55,64,75
E06000004,Stockton-on-Tees,0,0,2,2,2,2,2,2,3,6,9,9,10,11,12,12,14,16,24,29,34,43,47,60,70,77,81
E06000005,Darlington,0,0,0,0,0,2,2,2,1,2,2,2,3,3,3,3,4,5,11,14,15,16,23,24,30,32,32
E06000006,Halton,0,0,0,0,0,0,0,0,3,4,4,5,7,7,7,8,8,8,10,12,16,19,25,32,41,51,61
E06000007,Warrington,0,0,1,1,1,1,1,1,3,4,4,4,4,4,7,8,9,10,15,19,21,22,32,40,65,82,97
E06000008,Blackburn with Darwen,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,6,7,10,12,14,20,25,37,43,52
E06000009,Blackpool,0,0,0,2,2,1,3,2,3,4,3,5,5,6,6,8,8,8,9,10,10,18,18,27,28,41,50
E06000010,"Kingston upon Hull, City of",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,4,5,5,9,11,11,14,18,21,28
E06000011,East Riding of Yorkshire,0,0,0,0,1,2,3,4,9,10,10,15,15,15,16,16,19,21,23,26,31,35,38,46,56,72,78
E06000012,North East Lincolnshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,8,16,20,21,23,23,29,36
E06000013,North Lincolnshire,0,0,1,1,1,1,2,1,1,1,1,1,2,2,3,5,5,6,6,7,13,15,17,23,24,29,43
E06000014,York,3,3,3,3,4,4,4,4,3,4,5,6,8,10,10,11,14,14,17,19,21,30,32,35,36,57,57
E06000015,Derby,0,0,1,1,1,3,5,4,0,11,9,12,18,23,23,37,40,58,77,100,105,118,122,143,167,187,194
E06000016,Leicester,0,0,0,2,2,2,2,1,0,3,5,11,14,19,22,24,32,45,61,65,65,65,89,101,107,149,159
E06000017,Rutland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6
E06000018,Nottingham,2,2,3,3,5,5,5,10,12,14,14,22,22,34,41,49,57,67,79,91,97,99,100,120,125,161,161
E06000019,"Herefordshire, County of",0,1,1,1,1,1,1,1,1,3,3,3,7,7,7,15,15,21,23,25,25,25,35,40,47,51,57
E06000020,Telford and Wrekin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,12,17,21,23,34,40,40,48,51,62,70
E06000021,Stoke-on-Trent,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,9,12,16,21,27,28,33,37,55,61,76,80
E06000022,Bath and North East Somerset,0,0,0,0,0,1,2,1,3,3,4,5,11,13,16,17,20,23,26,32,36,39,41,45,52,52,58
E06000023,"Bristol, City of",2,2,3,3,5,4,5,7,8,12,12,13,20,23,28,37,41,51,56,65,78,92,103,117,137,156,166
E06000024,North Somerset,1,1,0,0,0,0,0,2,3,4,4,4,5,5,7,21,21,22,24,31,32,36,40,42,50,58,66
E06000025,South Gloucestershire,0,0,1,1,1,2,4,5,6,9,12,13,14,17,19,19,25,31,37,49,53,58,66,76,91,104,113
E06000026,Plymouth,0,0,0,0,1,1,2,2,2,5,7,7,11,11,11,16,21,26,32,39,42,44,50,56,60,71,71
E06000027,Torbay,7,7,7,7,7,7,7,7,6,6,8,10,10,16,17,17,18,21,23,25,30,35,36,42,49,51,53
E06000030,Swindon,2,2,2,2,2,2,2,2,2,3,4,5,5,6,7,7,8,11,16,18,26,28,29,31,40,44,49
E06000031,Peterborough,1,1,1,1,1,1,1,1,0,2,2,2,2,2,3,6,9,10,11,20,21,24,36,36,37,48,48
E06000032,Luton,2,2,2,2,3,3,2,3,3,3,3,4,5,8,15,19,29,30,47,53,63,69,86,91,115,116,128
E06000033,Southend-on-Sea,1,1,1,1,2,2,3,3,4,5,4,5,8,8,8,8,9,12,17,23,24,31,39,44,71,76,76
E06000034,Thurrock,0,0,0,0,0,0,1,1,1,2,3,6,8,10,13,15,15,20,26,33,37,41,54,62,79,83,83
E06000035,Medway,2,2,2,2,2,2,2,2,4,4,8,11,11,11,15,19,25,32,48,50,57,72,78,98,110,116,144
E06000036,Bracknell Forest,2,2,2,4,4,3,5,4,3,3,3,3,3,3,3,3,3,3,16,17,19,21,21,35,36,36,45
E06000037,West Berkshire,0,0,0,0,1,3,3,3,3,3,3,6,7,8,10,12,16,18,32,36,40,41,43,63,66,69,74
E06000038,Reading,0,0,0,2,3,3,3,3,3,5,7,7,7,8,8,8,9,10,25,27,27,28,29,66,67,67,79
E06000039,Slough,0,1,1,1,2,2,3,2,12,13,17,20,21,21,22,22,22,22,59,69,73,73,73,115,117,117,129
E06000040,Windsor and Maidenhead,0,1,1,1,4,5,6,6,9,10,13,13,13,13,13,13,13,14,37,44,48,48,49,75,75,76,88
E06000041,Wokingham,3,3,3,3,4,6,5,6,8,10,9,12,13,13,13,13,13,13,22,23,23,23,24,67,67,69,83
E06000042,Milton Keynes,1,2,2,2,2,2,4,3,3,4,5,7,7,11,17,25,29,38,58,71,82,94,106,117,127,141,149
E06000043,Brighton and Hove,8,8,8,8,9,9,10,10,9,11,12,14,17,17,17,25,25,30,33,33,33,33,44,49,50,71,73
E06000044,Portsmouth,0,0,0,0,0,1,1,1,3,4,5,13,22,25,25,29,33,42,50,64,70,72,78,79,83,85,89
E06000045,Southampton,0,0,0,0,0,0,1,1,3,4,7,7,8,11,11,24,28,32,37,41,43,68,76,100,105,128,145
E06000046,Isle of Wight,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,3,7,8,10,10,11,13,14,17,19,25
E06000047,County Durham,0,1,1,1,1,1,1,1,1,3,5,7,11,11,14,18,25,29,56,69,81,100,120,131,165,198,199
E06000049,Cheshire East,0,0,0,0,0,1,1,0,7,8,9,9,11,18,18,25,30,31,35,42,54,61,74,76,102,111,144
E06000050,Cheshire West and Chester,0,0,0,2,3,3,4,4,5,5,7,10,10,11,16,18,18,24,25,31,34,45,54,65,97,116,149
E06000051,Shropshire,0,1,2,2,3,3,4,2,2,3,3,3,3,3,10,27,33,44,53,56,67,78,85,102,106,120,138
E06000052,Cornwall and Isles of Scilly,4,4,5,5,5,4,5,8,10,10,10,16,20,20,25,30,37,43,48,56,64,69,81,99,114,125,149
E06000054,Wiltshire,3,4,4,4,4,5,5,7,7,9,12,17,20,23,28,34,39,43,54,58,67,76,83,93,105,110,120
E06000055,Bedford,0,0,0,0,0,0,0,0,1,1,1,1,4,4,7,7,7,10,20,25,32,34,60,60,72,74,83
E06000056,Central Bedfordshire,0,0,0,0,0,1,3,4,6,6,7,8,11,14,19,22,24,28,42,48,56,60,78,81,99,99,116
E06000057,Northumberland,0,0,0,0,0,0,0,0,0,4,6,7,10,10,10,13,19,23,45,53,61,67,76,92,119,142,142
E06000058,"Bournemouth, Christchurch and Poole",2,3,3,3,3,4,5,5,6,7,9,10,11,12,13,14,15,15,20,25,34,39,51,58,58,74,83
E06000059,Dorset,0,0,0,0,1,1,1,2,2,5,7,7,8,11,14,15,23,25,29,30,36,45,54,62,73,80,91
E08000001,Bolton,3,3,3,3,3,3,3,3,5,7,9,13,15,17,18,19,21,25,27,33,42,47,48,51,69,80,109
E08000002,Bury,3,3,3,3,3,3,3,6,7,7,8,10,11,14,15,17,23,27,30,40,55,59,72,75,87,102,104
E08000003,Manchester,5,5,5,7,7,9,9,8,14,18,21,26,28,31,37,41,45,55,63,76,91,109,126,155,195,224,252
E08000004,Oldham,4,4,4,4,6,6,6,10,10,12,14,14,15,23,28,34,42,48,51,73,82,101,108,114,125,149,152
E08000005,Rochdale,0,0,1,1,2,2,2,4,4,6,9,12,13,15,19,24,29,38,40,52,65,78,89,94,105,126,127
E08000006,Salford,0,0,0,0,0,0,1,1,4,4,9,10,12,23,25,31,47,52,58,78,92,104,127,129,158,190,191
E08000007,Stockport,0,0,0,0,2,3,3,3,10,10,13,21,24,29,36,42,45,48,59,66,79,93,101,107,140,156,193
E08000008,Tameside,1,1,1,1,1,2,3,3,10,12,14,19,21,21,27,32,35,40,43,52,58,62,69,77,94,109,129
E08000009,Trafford,4,4,4,4,5,7,6,7,12,14,13,15,19,23,28,31,40,46,53,64,77,86,96,104,126,139,173
E08000010,Wigan,3,3,3,3,3,3,3,3,4,4,4,6,9,9,9,11,14,16,21,30,39,53,65,67,91,110,116
E08000011,Knowsley,0,0,0,0,0,0,0,0,1,1,3,3,4,4,5,8,9,12,15,19,26,34,42,53,79,89,110
E08000012,Liverpool,5,5,6,8,8,6,9,6,11,12,13,14,18,22,35,41,57,72,100,132,157,197,217,262,309,342,387
E08000013,St. Helens,0,0,0,0,0,1,1,1,2,2,2,2,3,3,6,8,16,17,32,33,39,49,61,72,112,122,148
E08000014,Sefton,0,0,1,1,1,1,1,1,3,4,6,7,7,8,10,13,20,24,30,35,45,57,73,86,119,142,172
E08000015,Wirral,1,1,2,4,5,5,5,5,6,8,8,9,10,10,12,15,16,22,32,40,44,56,69,83,111,130,147
E08000016,Barnsley,2,2,2,2,2,3,5,4,2,6,7,7,7,10,11,15,19,27,42,62,70,79,100,122,134,154,158
E08000017,Doncaster,0,0,0,0,0,2,2,2,0,3,2,3,5,7,9,13,15,21,24,38,44,49,56,79,95,116,117
E08000018,Rotherham,0,1,1,1,1,2,2,2,1,4,3,4,6,9,12,16,20,30,39,57,60,70,78,107,129,154,158
E08000019,Sheffield,0,0,1,3,3,13,12,15,1,36,40,48,61,82,106,130,174,240,286,361,387,428,451,541,602,715,730
E08000021,Newcastle upon Tyne,4,4,6,6,5,5,4,5,5,13,19,21,28,34,42,49,58,80,121,135,155,186,201,225,252,284,285
E08000022,North Tyneside,1,1,2,2,3,2,2,3,3,7,10,12,17,18,18,20,23,27,36,46,62,71,76,87,113,133,133
E08000023,South Tyneside,0,0,0,0,0,0,0,0,0,2,2,2,5,5,6,8,9,10,19,22,27,31,33,44,53,56,57
E08000024,Sunderland,1,1,1,1,1,1,1,1,1,3,4,5,11,11,13,20,25,27,55,68,76,86,93,109,131,152,152
E08000025,Birmingham,1,1,2,2,2,5,8,15,20,25,34,54,75,91,137,187,228,290,366,428,513,578,650,734,852,984,1138
E08000026,Coventry,2,3,3,3,3,3,2,3,3,4,4,7,9,14,19,24,25,35,47,54,79,101,108,127,155,188,215
E08000027,Dudley,1,1,1,1,4,4,4,6,9,10,11,18,19,24,26,40,51,60,81,83,122,136,149,157,194,226,249
E08000028,Sandwell,0,0,0,0,0,0,1,4,6,6,7,11,15,20,31,47,50,65,103,116,138,144,158,186,215,252,283
E08000029,Solihull,0,0,0,0,0,0,0,1,1,1,1,3,4,4,8,12,19,29,39,54,74,87,117,126,141,164,183
E08000030,Walsall,0,0,0,0,1,1,5,11,13,14,16,20,28,29,37,43,60,78,100,108,125,151,176,198,231,270,309
E08000031,Wolverhampton,2,3,4,4,8,9,8,11,18,22,28,39,45,52,69,81,98,103,128,141,153,175,183,208,222,251,275
E08000032,Bradford,1,1,1,3,4,4,6,7,7,8,7,9,10,11,13,14,16,23,29,37,46,63,80,95,118,135,170
E08000033,Calderdale,0,0,0,2,2,3,5,2,3,3,3,5,5,5,7,7,7,9,11,15,29,39,44,54,60,69,69
E08000034,Kirklees,0,0,1,1,1,1,3,2,2,2,3,6,8,11,16,17,20,24,33,38,60,72,84,101,114,142,153
E08000035,Leeds,5,5,5,7,7,9,19,14,11,12,15,17,20,29,35,42,53,67,80,95,113,129,150,192,203,219,272
E08000036,Wakefield,0,0,0,0,0,1,2,3,4,5,6,6,8,10,12,13,19,24,34,40,54,62,72,79,95,105,128
E08000037,Gateshead,0,0,0,0,1,1,1,1,0,1,1,1,2,3,4,5,10,12,23,31,44,52,65,80,95,108,108
E09000002,Barking and Dagenham,0,1,1,3,4,5,7,10,9,14,18,21,30,35,42,45,53,72,82,93,100,115,125,130,141,178,183
E09000003,Barnet,5,8,8,9,14,23,25,25,24,27,28,76,81,88,94,99,100,103,115,117,119,124,130,468,510,547,589
E09000004,Bexley,0,0,0,0,1,5,7,8,14,17,22,31,37,39,43,47,59,77,85,102,119,130,137,147,190,217,221
E09000005,Brent,3,3,3,3,4,14,20,20,24,45,66,75,108,128,143,170,192,228,265,295,321,359,384,506,559,601,663
E09000006,Bromley,1,2,2,2,4,5,7,11,23,32,40,52,63,67,76,93,125,149,188,217,268,277,295,321,366,405,434
E09000007,Camden,4,5,7,11,13,19,22,22,20,30,36,46,51,53,60,64,71,85,99,115,119,127,143,212,225,244,263
E09000008,Croydon,0,1,1,1,1,1,2,4,6,32,49,68,81,84,85,128,163,181,219,261,289,313,344,380,437,497,515
E09000009,Ealing,5,5,5,5,8,18,20,18,21,42,53,54,80,97,106,123,136,165,209,241,265,304,317,350,385,414,445
E09000010,Enfield,1,1,1,1,2,5,6,8,10,27,30,48,54,68,76,84,98,110,136,144,151,164,174,240,264,282,300
E09000011,Greenwich,0,1,1,1,1,10,13,18,19,19,33,41,54,61,67,77,97,118,128,148,168,185,200,205,247,277,283
E09000012,Hackney and City of London,2,3,4,4,5,11,13,20,22,29,32,45,52,64,72,74,85,119,134,151,177,189,213,221,266,298,304
E09000013,Hammersmith and Fulham,2,2,3,3,5,10,19,21,23,25,28,36,45,51,58,70,80,94,112,124,144,158,168,177,188,207,230
E09000014,Haringey,0,1,1,3,3,9,11,16,17,29,32,44,51,57,64,72,76,91,113,127,141,151,161,194,211,233,246
E09000015,Harrow,1,1,1,1,2,10,12,14,15,40,56,60,89,103,113,134,145,167,196,225,251,283,302,347,378,401,422
E09000016,Havering,2,2,2,2,1,2,5,5,7,7,14,19,30,35,39,44,47,70,82,101,105,118,127,133,142,183,194
E09000017,Hillingdon,1,1,3,3,4,7,10,13,16,21,29,34,50,63,78,85,90,103,129,140,163,192,209,222,250,274,295
E09000018,Hounslow,3,5,5,5,5,10,10,12,15,24,29,38,52,64,73,82,90,112,126,139,152,184,195,214,234,253,285
E09000019,Islington,0,1,1,1,1,3,4,11,11,29,35,45,48,54,59,66,70,96,120,131,141,152,161,174,188,210,226
E09000020,Kensington and Chelsea,8,13,15,19,21,27,40,43,49,55,57,66,75,81,85,91,97,110,116,123,141,170,180,191,208,222,240
E09000021,Kingston upon Thames,1,1,1,1,2,2,2,2,1,7,14,17,22,23,23,36,37,42,52,66,82,92,99,108,127,140,144
E09000022,Lambeth,3,4,5,7,9,25,26,26,43,61,81,103,118,127,134,188,212,248,276,318,358,366,418,462,508,563,577
E09000023,Lewisham,3,3,3,5,5,6,11,17,18,22,39,47,60,67,86,97,114,144,158,188,218,248,275,285,346,401,408
E09000024,Merton,1,2,2,2,4,5,9,12,13,34,39,45,56,56,57,84,98,108,128,141,161,172,186,208,235,262,271
E09000025,Newham,0,0,0,0,0,1,3,3,17,23,32,42,51,57,70,76,77,109,148,195,230,250,287,330,370,409,412
E09000026,Redbridge,1,1,1,1,1,1,1,2,4,7,18,27,42,45,51,57,67,89,115,128,143,161,177,196,212,247,252
E09000027,Richmond upon Thames,0,1,1,1,1,2,2,2,3,7,12,16,22,25,31,36,44,55,68,83,94,112,123,142,155,167,175
E09000028,Southwark,5,8,9,11,13,28,30,33,58,70,82,110,134,139,154,181,209,253,290,319,365,368,415,474,516,566,586
E09000029,Sutton,1,2,4,5,6,6,7,11,10,12,14,19,23,24,24,40,45,54,69,82,93,111,115,142,176,197,208
E09000030,Tower Hamlets,1,4,4,6,6,8,9,12,23,25,33,43,51,57,67,70,71,93,129,160,184,195,225,241,259,287,288
E09000031,Waltham Forest,1,1,1,1,1,2,2,4,7,14,17,23,38,50,56,61,63,95,130,154,182,196,230,260,290,309,313
E09000032,Wandsworth,3,3,3,7,7,9,17,20,21,59,75,98,107,110,113,155,184,204,228,265,287,314,337,360,397,434,454
