LA Code,Local Area,Parent Code,Area,Population
E06000017,Rutland,E12000004,EAST MIDLANDS,39697
E06000031,Peterborough,E12000006,EAST,201041
E06000012,North East Lincolnshire,E12000003,YORKSHIRE AND THE HUMBER,159821
E08000017,Doncaster,E12000003,YORKSHIRE AND THE HUMBER,310542
E08000016,Barnsley,E12000003,YORKSHIRE AND THE HUMBER,245199
E08000018,Rotherham,E12000003,YORKSHIRE AND THE HUMBER,264671
E08000004,Oldham,E12000002,NORTH WEST,235623
E08000010,Wigan,E12000002,NORTH WEST,326088
E06000008,Blackburn with Darwen,E12000002,NORTH WEST,148942
E08000029,Solihull,E12000005,WEST MIDLANDS,214909
E10000019,Lincolnshire,E12000004,EAST MIDLANDS,755833
E08000033,Calderdale,E12000003,YORKSHIRE AND THE HUMBER,210082
E10000013,Gloucestershire,E12000009,SOUTH WEST,633558
E08000037,Gateshead,E12000001,NORTH EAST,202508
E06000033,Southend-on-Sea,E12000006,EAST,182463
E08000006,Salford,E12000002,NORTH WEST,254408
E08000002,Bury,E12000002,NORTH WEST,190108
E09000025,Newham,E12000007,LONDON,352005
E08000012,Liverpool,E12000002,NORTH WEST,494814
E06000025,South Gloucestershire,E12000009,SOUTH WEST,282644
E10000024,Nottinghamshire,E12000004,EAST MIDLANDS,823126
E06000015,Derby,E12000004,EAST MIDLANDS,257174
E08000005,Rochdale,E12000002,NORTH WEST,220001
E10000020,Norfolk,E12000006,EAST,903680
E10000008,Devon,E12000009,SOUTH WEST,795286
E06000024,North Somerset,E12000009,SOUTH WEST,213919
E06000021,Stoke-on-Trent,E12000005,WEST MIDLANDS,255833
E10000012,Essex,E12000006,EAST,1477764
E10000028,Staffordshire,E12000005,WEST MIDLANDS,875219
E10000032,West Sussex,E12000008,SOUTH EAST,858852
E06000044,Portsmouth,E12000008,SOUTH EAST,215133
E08000022,North Tyneside,E12000001,NORTH EAST,205985
E08000032,Bradford,E12000003,YORKSHIRE AND THE HUMBER,537173
E10000015,Hertfordshire,E12000006,EAST,1184365
E09000021,Kingston upon Thames,E12000007,LONDON,175470
E06000034,Thurrock,E12000006,EAST,172525
E06000007,Warrington,E12000002,NORTH WEST,209547
E08000011,Knowsley,E12000002,NORTH WEST,149571
E06000005,Darlington,E12000001,NORTH EAST,106566
E08000019,Sheffield,E12000003,YORKSHIRE AND THE HUMBER,582506
E10000016,Kent,E12000008,SOUTH EAST,1568623
E10000003,Cambridgeshire,E12000006,EAST,651482
E08000015,Wirral,E12000002,NORTH WEST,323235
E06000055,Bedford,E12000006,EAST,171623
E06000058,"Bournemouth, Christchurch and Poole",E12000009,SOUTH WEST,395784
E06000046,Isle of Wight,E12000008,SOUTH EAST,141538
E09000030,Tower Hamlets,E12000007,LONDON,317705
E08000024,Sunderland,E12000001,NORTH EAST,277417
E06000050,Cheshire West and Chester,E12000002,NORTH WEST,340502
E10000027,Somerset,E12000009,SOUTH WEST,559399
E10000021,Northamptonshire,E12000004,EAST MIDLANDS,747622
E09000016,Havering,E12000007,LONDON,257810
E06000047,County Durham,E12000001,NORTH EAST,526980
E06000022,Bath and North East Somerset,E12000009,SOUTH WEST,192106
E09000027,Richmond upon Thames,E12000007,LONDON,196904
E06000042,Milton Keynes,E12000008,SOUTH EAST,268607
